raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
18,1,1,1,1,10.0,58,0 days 01:34:50.616000,5690616.0,39.0,2.0,0 days 00:01:27.452000,218.3,1
18,2,2,5,2,8.0,58,0 days 01:34:56.094000,5696094.0,41.0,3.0,0 days 00:01:27.739000,217.586,1
18,3,3,7,3,6.0,58,0 days 01:34:58.779000,5698779.0,41.0,5.0,0 days 00:01:28.090000,216.719,1
18,4,4,11,4,5.0,58,0 days 01:35:07.797000,5707797.0,58.0,7.0,0 days 00:01:28.603000,215.464,1
18,5,1,3,5,4.0,58,0 days 01:35:08.630000,5708630.0,43.0,1.0,0 days 00:01:27.418000,218.385,1
18,6,3,13,6,3.0,57,0 days 00:00:00,0.0,50.0,14.0,0 days 00:01:29.639000,212.974,11
18,7,5,17,7,2.0,55,0 days 00:00:00,0.0,22.0,12.0,0 days 00:01:29.534000,213.224,5
18,8,6,15,8,1.0,53,0 days 00:00:00,0.0,20.0,4.0,0 days 00:01:27.903000,217.18,5
18,9,2,2,9,0.0,47,0 days 00:00:00,0.0,15.0,9.0,0 days 00:01:28.753000,215.1,4
18,10,7,18,10,0.0,43,0 days 00:00:00,0.0,23.0,13.0,0 days 00:01:29.558000,213.166,3
18,11,8,19,11,0.0,32,0 days 00:00:00,0.0,24.0,15.0,0 days 00:01:30.892000,210.038,7
18,12,4,20,12,0.0,30,0 days 00:00:00,0.0,20.0,16.0,0 days 00:01:31.384000,208.907,8
18,13,6,4,13,0.0,29,0 days 00:00:00,0.0,23.0,6.0,0 days 00:01:28.175000,216.51,5
18,14,9,8,14,0.0,25,0 days 00:00:00,0.0,21.0,11.0,0 days 00:01:29.502000,213.3,4
18,15,7,6,15,0.0,19,0 days 00:00:00,0.0,18.0,10.0,0 days 00:01:29.310000,213.758,10
18,16,10,22,16,0.0,8,0 days 00:00:00,0.0,8.0,17.0,0 days 00:01:32.021000,207.461,9
18,17,9,14,17,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
18,18,11,12,18,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
18,19,8,21,19,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
18,20,5,9,20,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
18,21,10,16,21,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
18,22,11,10,22,0.0,58,0 days 00:00:00,0.0,44.0,8.0,0 days 00:01:28.736000,215.141,2
19,8,6,2,1,10.0,56,0 days 01:31:18.555000,5478555.0,37.0,2.0,0 days 00:01:35.405000,209.158,1
19,9,2,4,2,8.0,56,0 days 01:31:38.125000,5498125.0,39.0,6.0,0 days 00:01:35.921000,208.033,1
19,5,1,8,3,6.0,56,0 days 01:31:57.005000,5517005.0,19.0,7.0,0 days 00:01:35.922000,208.031,1
19,15,7,3,4,5.0,56,0 days 01:32:04.387000,5524387.0,53.0,8.0,0 days 00:01:36.068000,207.715,1
19,1,1,9,5,4.0,56,0 days 01:32:05.103000,5525103.0,53.0,3.0,0 days 00:01:35.462000,209.033,1
19,2,2,5,6,3.0,56,0 days 01:32:08.388000,5528388.0,55.0,1.0,0 days 00:01:35.366000,209.244,1
19,17,9,6,7,2.0,56,0 days 01:32:26.685000,5546685.0,53.0,12.0,0 days 00:01:36.696000,206.366,1
19,4,4,7,8,1.0,56,0 days 01:32:28.596000,5548596.0,40.0,10.0,0 days 00:01:36.288000,207.24,1
19,14,9,12,9,0.0,56,0 days 01:32:34.775000,5554775.0,55.0,9.0,0 days 00:01:36.206000,207.417,1
19,18,11,11,10,0.0,56,0 days 01:32:44.769000,5564769.0,56.0,4.0,0 days 00:01:35.715000,208.481,1
19,12,4,13,11,0.0,56,0 days 01:32:50.757000,5570757.0,52.0,15.0,0 days 00:01:36.956000,205.812,1
19,21,10,17,12,0.0,55,0 days 00:00:00,0.0,52.0,16.0,0 days 00:01:36.962000,205.8,11
19,22,11,14,13,0.0,55,0 days 00:00:00,0.0,55.0,11.0,0 days 00:01:36.693000,206.372,11
19,3,3,16,14,0.0,55,0 days 00:00:00,0.0,55.0,13.0,0 days 00:01:36.782000,206.182,11
19,19,8,21,15,0.0,55,0 days 00:00:00,0.0,55.0,18.0,0 days 00:01:38.171000,203.265,11
19,11,8,19,16,0.0,54,0 days 00:00:00,0.0,53.0,19.0,0 days 00:01:38.504000,202.578,12
19,6,3,22,17,0.0,54,0 days 00:00:00,0.0,19.0,17.0,0 days 00:01:37.711000,204.222,12
19,20,5,15,18,0.0,39,0 days 00:00:00,0.0,37.0,14.0,0 days 00:01:36.870000,205.995,5
19,13,6,1,19,0.0,30,0 days 00:00:00,0.0,15.0,5.0,0 days 00:01:35.914000,208.048,20
19,16,10,20,20,0.0,5,0 days 00:00:00,0.0,3.0,20.0,0 days 00:01:40.330000,198.891,9
19,10,7,10,21,0.0,1,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
19,7,5,18,22,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,191.25217857142857,20
20,13,6,2,1,10.0,57,0 days 01:31:06.970000,5466970.0,38.0,3.0,0 days 00:01:33.600000,208.153,1
20,8,6,4,2,8.0,57,0 days 01:31:10.309000,5470309.0,35.0,4.0,0 days 00:01:33.709000,207.911,1
20,9,2,1,3,6.0,57,0 days 01:31:11.968000,5471968.0,55.0,5.0,0 days 00:01:33.775000,207.765,1
20,2,2,6,4,5.0,57,0 days 01:31:15.379000,5475379.0,48.0,2.0,0 days 00:01:33.565000,208.231,1
20,5,1,5,5,4.0,57,0 days 01:31:33.759000,5493759.0,49.0,1.0,0 days 00:01:33.193000,209.062,1
20,15,7,7,6,3.0,57,0 days 01:31:48.284000,5508284.0,45.0,7.0,0 days 00:01:34.204000,206.819,1
20,17,9,11,7,2.0,57,0 days 01:31:52.443000,5512443.0,51.0,8.0,0 days 00:01:34.305000,206.597,1
20,3,3,8,8,1.0,57,0 days 01:32:02.859000,5522859.0,57.0,6.0,0 days 00:01:34.072000,207.109,1
20,10,7,13,9,0.0,57,0 days 01:32:16.470000,5536470.0,56.0,9.0,0 days 00:01:34.807000,205.503,1
20,4,4,10,10,0.0,57,0 days 01:32:24.151000,5544151.0,35.0,13.0,0 days 00:01:35.194000,204.668,1
20,22,11,12,11,0.0,57,0 days 01:32:24.832000,5544832.0,40.0,10.0,0 days 00:01:34.855000,205.399,1
20,21,10,18,12,0.0,56,0 days 00:00:00,0.0,56.0,11.0,0 days 00:01:35.057000,204.963,11
20,1,1,3,13,0.0,56,0 days 00:00:00,0.0,25.0,19.0,0 days 00:01:35.520000,203.969,11
20,6,3,16,14,0.0,56,0 days 00:00:00,0.0,30.0,17.0,0 days 00:01:35.433000,204.155,11
20,7,5,15,15,0.0,56,0 days 00:00:00,0.0,33.0,15.0,0 days 00:01:35.333000,204.369,11
20,19,8,21,16,0.0,56,0 days 00:00:00,0.0,45.0,14.0,0 days 00:01:35.324000,204.389,11
20,11,8,22,17,0.0,56,0 days 00:00:00,0.0,56.0,20.0,0 days 00:01:35.891000,203.18,11
20,14,9,17,18,0.0,56,0 days 00:00:00,0.0,43.0,16.0,0 days 00:01:35.351000,204.331,11
20,16,10,20,19,0.0,56,0 days 00:00:00,0.0,55.0,18.0,0 days 00:01:35.442000,204.136,12
20,12,4,14,20,0.0,40,0 days 00:00:00,0.0,31.0,12.0,0 days 00:01:35.129000,204.808,6
20,18,11,9,21,0.0,19,0 days 00:00:00,0.0,11.0,21.0,0 days 00:01:36.125000,202.686,4
20,20,5,19,22,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,202.0206,5
21,8,6,1,1,10.0,66,0 days 01:38:19.051000,5899051.0,46.0,1.0,0 days 00:01:21.670000,205.191,1
21,13,6,3,2,8.0,66,0 days 01:38:22.279000,5902279.0,45.0,2.0,0 days 00:01:21.801000,204.863,1
21,1,1,5,3,6.0,66,0 days 01:38:23.238000,5903238.0,20.0,3.0,0 days 00:01:22.017000,204.323,1
21,9,2,4,4,5.0,66,0 days 01:38:24.745000,5904745.0,20.0,4.0,0 days 00:01:22.106000,204.102,1
21,17,9,7,5,4.0,66,0 days 01:38:54.989000,5934989.0,19.0,8.0,0 days 00:01:22.564000,202.969,1
21,18,11,13,6,3.0,66,0 days 01:39:12.061000,5952061.0,66.0,5.0,0 days 00:01:22.353000,203.489,1
21,6,3,12,7,2.0,66,0 days 01:39:17.295000,5957295.0,48.0,15.0,0 days 00:01:23.549000,200.576,1
21,15,7,8,8,1.0,66,0 days 01:39:18.486000,5958486.0,45.0,10.0,0 days 00:01:22.758000,202.494,1
