raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
1061,830,9,2,1,3,17,0 days 00:25:38.426000,1538426.0,14.0,0 days 00:01:30.013000,1
1061,1,131,1,2,2,17,0 days 00:25:39.856000,1539856.0,17.0,0 days 00:01:29.937000,1
1061,822,131,3,3,1,17,0 days 00:25:45.928000,1545928.0,17.0,0 days 00:01:29.958000,1
1061,844,6,4,4,0,17,0 days 00:25:49.704000,1549704.0,16.0,0 days 00:01:30.163000,1
1061,846,1,6,5,0,17,0 days 00:26:02.537000,1562537.0,16.0,0 days 00:01:30.566000,1
1061,817,1,7,6,0,17,0 days 00:26:09.385000,1569385.0,17.0,0 days 00:01:30.640000,1
1061,4,214,11,7,0,17,0 days 00:26:21.953000,1581953.0,17.0,0 days 00:01:31.773000,1
1061,20,117,10,8,0,17,0 days 00:26:22.865000,1582865.0,17.0,0 days 00:01:31.687000,1
1061,847,3,8,9,0,17,0 days 00:26:25.078000,1585078.0,17.0,0 days 00:01:32.208000,1
1061,839,214,13,10,0,17,0 days 00:26:25.821000,1585821.0,16.0,0 days 00:01:32.183000,1
1061,832,6,9,11,0,17,0 days 00:26:26.224000,1586224.0,10.0,0 days 00:01:31.991000,1
1061,842,213,12,12,0,17,0 days 00:26:27.189000,1587189.0,17.0,0 days 00:01:32.072000,1
1061,8,51,17,13,0,17,0 days 00:26:29.103000,1589103.0,12.0,0 days 00:01:32.139000,1
1061,840,117,15,14,0,17,0 days 00:26:30.605000,1590605.0,12.0,0 days 00:01:32.210000,1
1061,841,51,14,15,0,17,0 days 00:26:31.651000,1591651.0,14.0,0 days 00:01:32.457000,1
1061,852,213,16,16,0,17,0 days 00:26:31.993000,1591993.0,14.0,0 days 00:01:32.270000,1
1061,849,3,18,17,0,17,0 days 00:26:33.588000,1593588.0,17.0,0 days 00:01:32.143000,1
1061,854,210,19,18,0,17,0 days 00:26:46.639000,1606639.0,15.0,0 days 00:01:32.567000,1
1061,853,210,20,19,0,17,0 days 00:26:56.074000,1616074.0,3.0,0 days 00:01:33.462000,1
1061,815,9,5,20,0,16,0 days 00:00:00,0.0,6.0,0 days 00:01:31.465000,76
1065,822,131,1,1,3,18,0 days 00:27:54.078000,1674078.0,9.0,0 days 00:01:23.540000,1
1065,830,9,3,2,2,18,0 days 00:27:56.403000,1676403.0,9.0,0 days 00:01:23.502000,1
1065,817,1,5,3,1,18,0 days 00:28:08.612000,1688612.0,17.0,0 days 00:01:24.291000,1
1065,846,1,4,4,0,18,0 days 00:28:12.913000,1692913.0,9.0,0 days 00:01:24.554000,1
1065,1,131,2,5,0,18,0 days 00:28:14.089000,1694089.0,9.0,0 days 00:01:24.253000,1
1065,844,6,8,6,0,18,0 days 00:28:17.520000,1697520.0,18.0,0 days 00:01:24.677000,1
1065,832,6,7,7,0,18,0 days 00:28:22.030000,1702030.0,8.0,0 days 00:01:24.918000,1
1065,841,51,10,8,0,18,0 days 00:28:25.167000,1705167.0,10.0,0 days 00:01:25.126000,1
1065,815,9,9,9,0,18,0 days 00:28:25.758000,1705758.0,12.0,0 days 00:01:24.211000,1
1065,840,117,12,10,0,18,0 days 00:28:32.749000,1712749.0,8.0,0 days 00:01:25.349000,1
1065,4,214,13,11,0,18,0 days 00:28:33.873000,1713873.0,8.0,0 days 00:01:25.225000,1
1065,20,117,11,12,0,18,0 days 00:28:35.255000,1715255.0,8.0,0 days 00:01:25.493000,1
1065,839,214,14,13,0,18,0 days 00:28:37.451000,1717451.0,8.0,0 days 00:01:25.613000,1
1065,849,3,16,14,0,18,0 days 00:28:40.055000,1720055.0,9.0,0 days 00:01:25.711000,1
1065,847,3,15,15,0,18,0 days 00:28:40.899000,1720899.0,15.0,0 days 00:01:25.835000,1
1065,852,213,17,16,0,18,0 days 00:28:44.055000,1724055.0,18.0,0 days 00:01:25.847000,1
1065,853,210,20,17,0,18,0 days 00:28:56.677000,1736677.0,7.0,0 days 00:01:26.613000,1
1065,9,51,19,18,0,18,0 days 00:28:59.174000,1739174.0,12.0,0 days 00:01:26.772000,1
1065,854,210,18,19,0,18,0 days 00:29:00.232000,1740232.0,7.0,0 days 00:01:26.819000,1
1065,842,213,6,20,0,0,0 days 00:00:00,0.0,0.0,0 days 00:00:00,3
1071,822,131,2,1,3,24,0 days 00:29:09.559000,1749559.0,8.0,0 days 00:01:12.300000,1
1071,830,9,1,2,2,24,0 days 00:29:10.729000,1750729.0,9.0,0 days 00:01:12.114000,1
1071,832,6,5,3,1,24,0 days 00:29:28.282000,1768282.0,13.0,0 days 00:01:13.167000,1
1071,815,9,3,4,0,24,0 days 00:29:29.346000,1769346.0,13.0,0 days 00:01:13.110000,1
1071,1,131,20,5,0,24,0 days 00:29:30.431000,1770431.0,5.0,0 days 00:01:12.357000,1
1071,846,1,7,6,0,24,0 days 00:29:32.117000,1772117.0,8.0,0 days 00:01:12.994000,1
1071,844,6,6,7,0,24,0 days 00:29:34.615000,1774615.0,4.0,0 days 00:01:13.140000,1
1071,842,213,4,8,0,24,0 days 00:29:43.717000,1783717.0,4.0,0 days 00:01:13.342000,1
1071,839,214,10,9,0,24,0 days 00:29:44.191000,1784191.0,11.0,0 days 00:01:13.615000,1
1071,20,117,11,10,0,24,0 days 00:29:44.426000,1784426.0,5.0,0 days 00:01:13.558000,1
1071,817,1,8,11,0,24,0 days 00:29:45.428000,1785428.0,9.0,0 days 00:01:13.463000,1
1071,4,214,9,12,0,24,0 days 00:29:46.137000,1786137.0,4.0,0 days 00:01:13.397000,1
1071,841,51,14,13,0,24,0 days 00:29:51.439000,1791439.0,11.0,0 days 00:01:13.627000,1
1071,840,117,15,14,0,24,0 days 00:29:53.596000,1793596.0,9.0,0 days 00:01:13.666000,1
